Timestamp,X,Y,Z
0.008,-0.007722361,0.003094251,0.0422848
0.028,-0.0057332157,0.0027981922,0.04184047
0.049,-0.0051671714,0.0031762416,0.042070568
0.069,-0.005104359,0.0013820063,0.042101637
0.089,-0.004681915,0.002033408,0.04273116
0.111,-0.003508035,0.0018543394,0.04298311
0.133,-0.003431644,0.0025630658,0.04300167
0.154,-0.0029014407,0.002550996,0.04315383
0.174,-0.0029785645,0.0014389931,0.043277312
0.195,-0.0038918562,0.0011457154,0.043600027
0.216,-0.003997612,7.9158926E-4,0.04327975
0.236,-0.0025474983,0.0018646817,0.0431132
0.257,-0.0032717814,0.001164798,0.042525064
0.277,-0.0028504392,5.3697353E-4,0.042662244
0.298,-0.001521017,0.0020875912,0.04269189
0.318,-0.001899773,0.0014952596,0.042922772
0.339,-0.002410995,-0.0024314793,0.042835895
0.36,-0.0030983284,-0.0023390462,0.042835247
0.38,-0.0026361835,-0.0033367919,0.043084484
0.401
0.421,-0.0026261604,-0.0026265844,0.042705294
0.442,-0.0016341454,-0.0049331505,0.042573832
0.462,-7.965595E-4,-0.0014588016,0.04272047
0.483,-7.965595E-4,-0.0014588016,0.04272047
0.504,-0.0012726585,-0.0024885028,0.043224312
0.525,-4.561763E-4,-0.0022196912,0.0433355
0.547,-4.1932683E-4,-0.0022982152,0.04344167
0.57,-0.0022198616,-9.389664E-5,0.044152457
0.591,8.251949E-4,-0.0023114446,0.0441372
0.612,7.657264E-5,-0.0032288956,0.044072215
0.633,0.002766756,-0.0020940597,0.043513656
0.654,0.002766756,-0.0020940597,0.043513656
0.675,-0.0011579441,9.7174826E-4,0.04289423
0.696,-6.8005105E-4,-6.1092566E-4,0.042577617
0.716,-0.0022954433,-0.002567541,0.042465076
0.737,1.3865181E-5,-9.332014E-4,0.041876584
0.758,8.55389E-4,-4.60578E-5,0.041696582
0.78,-5.063915E-4,-0.0014052175,0.041980058
0.801,-3.9013883E-4,-0.0018770031,0.041937724
0.822,5.8072852E-5,-0.0010358642,0.04196193
0.844,-0.00171642,-0.0034400162,0.04209333
0.864,-0.001542045,-0.0033284833,0.041648258
0.885,-0.0019328443,-0.002861726,0.041624136
0.906,-0.0013946268,-0.002691857,0.04213949
0.927,-0.0012321045,-0.0024442566,0.042301897
0.947,-0.0014102117,-0.002844071,0.04159324
0.968,-0.0019085868,-0.0025937916,0.041589636
0.989,-0.0018180844,-0.0019162131,0.041684587
1.01,-0.0019687475,-0.0011990892,0.041392665
1.031,-0.0019531618,-0.0012893757,0.041489143
1.053,-0.0021821149,-0.0020432393,0.041203354
1.074,-0.0021573508,-0.0022603846,0.04131079
1.096,-0.0016385767,-0.002013343,0.04118009
1.116,-0.0017998064,-0.0016016212,0.041197766
1.137,-0.0014380774,-0.0020736647,0.041248113
1.158,-0.002333962,-0.0016961376,0.041809764
1.179,-0.0023397899,-0.0011278669,0.041737355
1.2,-0.0023704192,-5.0461513E-4,0.041494187
1.22,-0.0023593782,-0.0018990688,0.04232163
1.242,-0.001896433,-0.0021466194,0.04211871
1.263,-0.0022838851,-0.0011525054,0.041653648
1.284,-0.0018959963,-7.5176574E-4,0.041034956
1.305,-0.0019940059,-6.0291955E-4,0.040908486
1.325,-0.0026624836,-0.0010302603,0.04099575
1.346,-0.0022913963,-4.631651E-4,0.04065802
1.366,-0.0023717026,-1.4409682E-4,0.04082312
1.387,-0.0017406307,-9.4950077E-4,0.040506504
1.408,-0.0010706132,-0.0013844577,0.040432896
1.429,-0.0011771128,-6.13501E-4,0.040236738
1.45,-9.728197E-4,2.044358E-4,0.040332966
1.47,-9.614637E-4,5.4005196E-4,0.040415302
1.492,-4.2921002E-4,-0.0012333104,0.03975317
1.513,-4.912899E-4,-0.0011119794,0.039767034
1.533,-2.192643E-4,-0.0014523331,0.03968005
1.554,-1.6500549E-4,-0.0016682963,0.03944153
1.575,4.7153374E-4,-0.0015492851,0.039534215
1.595,4.690997E-4,-0.001667115,0.039447833
1.616,5.142308E-4,-0.0012693647,0.0396511
1.636,3.7537827E-4,-0.0012944879,0.039670695
1.657,6.4813605E-5,-0.0012284846,0.03998764
1.678,2.745737E-4,-6.337715E-4,0.03926453
1.699,-1.3048045E-4,-0.001341886,0.038960066
1.72,9.237954E-5,-0.0015521741,0.038804553
1.74,-7.515367E-5,-0.0016194249,0.03871725
1.761,1.05069776E-4,-0.0017136195,0.039190557
1.782,-1.0377598E-4,-0.0016449174,0.039070215
1.803,-1.0377598E-4,-0.0016449174,0.039070215
1.824,-1.1298311E-5,-0.0019424352,0.039647676
1.844,3.3075674E-4,-0.0020299114,0.03952279
1.865,-9.829223E-4,-0.0016447203,0.039114237
1.886,-0.0011491133,-0.0015245065,0.03905793
1.906,-8.410771E-4,-0.0013269379,0.03945801
1.927,-7.3902996E-4,-0.0014686983,0.039632
1.947,-5.983298E-4,-0.0014385296,0.039646234
1.968,-1.8422975E-4,-0.0014873531,0.03973754
1.989,1.8142661E-4,-0.0016163677,0.040260762
2.01,7.061354E-5,-0.0019145272,0.04047053
2.032,-1.2260705E-4,-0.0013756789,0.040347937
2.052,-1.6492902E-4,-0.0022240786,0.040138982
2.073,-4.3133838E-4,-0.0021463647,0.040227603
2.093,-4.927728E-4,-0.0017616693,0.04053425
2.114,-5.477845E-4,-0.0018122436,0.04065329
2.136,1.8960662E-4,-0.0017970245,0.040407367
2.156,2.8795726E-4,-0.0015301111,0.040381204
2.177,1.1925749E-4,-0.001916592,0.04062814
2.197,4.278359E-4,-0.0020907999,0.040868327
2.218,7.5454346E-4,-0.0016591421,0.04122421
2.239,5.136392E-4,-0.0015770493,0.041230693
2.26,7.8644184E-4,-0.0012453808,0.041421667
2.28,7.3109433E-4,-0.0012279452,0.041373007
2.301,8.858979E-4,-6.7069446E-4,0.04132161
2.321,5.279489E-4,-0.00105109,0.040893365
2.342,0.0011091263,-7.393939E-4,0.040739134
2.363,0.0011957193,-8.2402874E-4,0.0408631
2.384,0.0013533622,-7.258509E-4,0.04096935
2.404,0.0014283871,-0.0014440839,0.041447718
2.425,0.0013294626,-9.794532E-4,0.04165385
2.445,0.0018092656,-0.0011577555,0.041311942
2.466,0.001239334,-7.836112E-4,0.041381072
2.487,0.0014572324,-8.167085E-4,0.04105079
2.508,0.0010574219,-8.5174193E-4,0.040661715
2.528,8.183231E-4,1.2799527E-4,0.0404376
2.549,0.0010313692,-3.1259935E-4,0.04041721
2.569,7.3734997E-4,1.03827144E-4,0.04021798
2.59,9.89866E-4,-2.7428003E-4,0.040569033
2.611,4.972073E-4,6.0386054E-5,0.040536348
2.632,0.0012975587,-9.388543E-4,0.040331956
2.652,8.629947E-4,-5.9177034E-4,0.04022887
2.673,9.746704E-4,-0.0011392854,0.040437654
2.693,7.6996995E-4,-0.0011208381,0.040567964
2.714,4.1917307E-4,-4.04153E-4,0.040491473
2.736,0.0016206112,-8.211105E-4,0.040696252
2.756,0.0015349755,-0.0014920814,0.04059948
2.777,0.0012694596,-0.0013793545,0.04088153
2.798,0.0017123814,-0.0015147578,0.040586937
2.819,0.0019775622,-0.0018199589,0.04012788
2.84,0.0016365804,-0.0022392217,0.04002561
2.86,0.0016836724,-0.0020348001,0.039885107
2.881,0.0012652366,-0.0023320166,0.040231094
2.902,0.0019441524,-0.0019102021,0.040564038
2.924,0.0015775334,-0.0012800489,0.040630054
2.945,0.0015775334,-0.0012800489,0.040630054
2.966,0.0013268407,-0.0016580713,0.04098059
2.987,9.904377E-4,-0.001484498,0.040826887
3.008,9.904377E-4,-0.001484498,0.040826887
3.031,9.187354E-4,-0.0016475047,0.040859714
3.052,0.0010875287,-0.0017486608,0.040598266
3.072,-3.809732E-5,-0.0016067446,0.040792238
3.093,-4.391455E-4,-0.001426226,0.04090944
3.114,3.801613E-4,-0.0013171929,0.04070377
3.135,3.0112796E-4,-0.0014614876,0.04086645
3.156,3.0112796E-4,-0.0014614876,0.04086645
3.176,0.0010130281,-7.8065693E-4,0.041022938
3.198,4.6653772E-4,-0.0010782112,0.04068122
3.219,4.641211E-5,-0.0011054785,0.040289447
3.24,7.8818074E-4,-0.0012223959,0.040000148
3.263,7.043046E-4,-0.0018529517,0.04041628
3.283,0.0017004332,-0.001188715,0.040257946
3.304,0.0021418324,-0.0011502033,0.039925132
3.325,0.0017804487,-9.154033E-4,0.03989078
3.346,0.0016368672,-5.28674E-4,0.039802708
3.366,0.0019403057,-7.100189E-4,0.039915632
3.387,0.001281836,-3.8281895E-4,0.03960357
3.409,0.0014425672,-7.743438E-4,0.039031584
3.429,0.0019570468,-3.4586916E-4,0.038701903
3.45,0.0021539822,-0.0012286137,0.038526803
3.471,0.0013803155,-6.792861E-4,0.03887746
3.493,0.0022628524,-9.91843E-4,0.038815375
3.513,0.0024451187,-9.61965E-4,0.038674604
3.534,0.002644361,-0.0012252808,0.038632236
3.555,0.0022286659,-8.281884E-4,0.038297947
3.575,0.0023667826
3.596,0.0023824547,-6.8765413E-4,0.038469777
3.616,0.0025132715,-1.820529E-5,0.038389493
3.637,0.0023651014,1.5553119E-4,0.037740245
3.658,0.002480676,3.3818762E-4,0.03820285
3.679,0.0024534974,1.0158721E-4,0.038483694
3.699,0.0022834898,3.978319E-4,0.03817543
