loggingTime,loggingSample,identifierForVendor,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,pedometerStartDate,pedometerNumberofSteps,pedometerAverageActivePace,pedometerCurrentPace,pedometerCurrentCadence,pedometerDistance,pedometerFloorAscended,pedometerFloorDescended,pedometerEndDate,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure
1582550217.073679,1,0,1582550216.935356,41.20732995451319,29.07232162814989,161.337,-1,-1,21.01150894165039,65,-9999,103104.8725070417,0.5385589599609375,-0.0396575927734375,-0.82489013671875,103104.8674710417,0.1062445699475237,0.6174227976632136,0.03135229370078786,-0.03340725973248482,0.05255226045846939,-0.01161136757582426,-0.03364741802215576,0.004492223262786865,-0.006197631359100342,2,-0.001217244527877276,0.3041583097794898,0.05533694963403429,0.9510121042351072,0.5786511898040771,-0.03134715929627419,-0.814972460269928,22.41522216796875,-34.79479598999023,-28.1429443359375,2,103102.784571,1,2,1582550214.943068,0,0,0,0,0,0,0,0,0,103101.533992,0,0.2906494,99.09388
1582550217.075584,2,0,1582550216.935356,41.20732995451319,29.07232162814989,161.337,-1,-1,21.01150894165039,65,-9999,103104.8825470417,0.5395355224609375,-0.0254058837890625,-0.82568359375,103104.8775120417,0.1061548929008449,0.6179695712883689,0.03125805960568884,0.0006060326704755425,0.05671560764312744,-0.01326187141239643,-0.04219704866409302,-0.01040297746658325,-0.007152557373046875,2,-0.001263550870200941,0.3044161811789818,0.05527970574959029,0.9509329001641442,0.5790984034538269,-0.03125296905636787,-0.8146584033966064,22.37425231933594,-34.8477897644043,-28.182861328125,2,103102.784571,1,2,1582550214.943068,0,0,0,0,0,0,0,0,0,103102.475174,0,0.2642212,99.09419
1582550217.07627,3,0,1582550216.935356,41.20732995451319,29.07232162814989,161.337,-1,-1,21.01150894165039,65,-9999,103104.8925870417,0.531280517578125,-0.03515625,-0.824493408203125,103104.8875520417,0.1061095666034162,0.6186209140272344,0.03110046472226628,-0.01475188508629799,0.06686650961637497,-0.01352472417056561,-0.03836637735366821,0.004606753587722778,-0.01300382614135742,2,-0.001349610655968336,0.3047222774532753,0.05523385466391811,0.9508374107471526,0.5796317458152771,-0.03109545074403286,-0.8142850399017334,22.37425231933594,-34.8477897644043,-28.182861328125,2,103102.784571,1,2,1582550214.943068,0,0,0,0,0,0,0,0,0,103102.475174,0,0.2642212,99.09419
1582550217.077076,4,0,1582550216.935356,41.20732995451319,29.07232162814989,161.337,-1,-1,21.01150894165039,65,-9999,103104.9026580417,0.5390625,-0.0327301025390625,-0.824951171875,103104.8975920417,0.1060537946473119,0.6193793210656746,0.03098711123025385,-0.004597784951329231,0.07828407734632492,-0.01194696500897408,-0.04881250858306885,-0.001762688159942627,-0.009626150131225586,2,-0.001415960213951739,0.3050802611000291,0.05518962478684691,0.9507250843976572,0.5802512168884277,-0.03098215162754059,-0.813848078250885,22.15696716308594,-34.886474609375,-28.0111083984375,2,103102.784571,1,2,1582550214.943068,0,0,0,0,0,0,0,0,0,103102.475174,0,0.2642212,99.09419
1582550217.077832,5,0,1582550216.935356,41.20732995451319,29.07232162814989,161.337,-1,-1,21.01150894165039,65,-9999,103104.9126980417,0.5406951904296875,-0.0294036865234375,-0.822998046875,103104.9076320417,0.1060016128115372,0.620204998249791,0.03085753647457405,-0.009244201704859734,0.08369668573141098,-0.01227400079369545,-0.04339843988418579,-0.003707975149154663,-0.01242160797119141,2,-0.001492395840616306,0.3054698208204509,0.0551445471755676,0.9506024246398134,0.5809252858161926,-0.03085264004766941,-0.8133718967437744,22.15696716308594,-34.886474609375,-28.0111083984375,2,103102.784571,1,2,1582550214.943068,0,0,0,0,0,0,0,0,0,103102.475174,0,0.2642212,99.09419
1582550217.095669,6,0,1582550216.935356,41.20732995451319,29.07232162814989,161.337,-1,-1,21.01150894165039,65,-9999,103104.9227390417,0.5420379638671875,-0.0326690673828125,-0.822509765625,103104.9176730417,0.1059257618641395,0.6210902490561954,0.03075114322481011,-0.004228207748383284,0.08969920873641968,-0.01244299206882715,-0.0407785177230835,0.00175514817237854,-0.009820759296417236,2,-0.001555788919484324,0.3058881600269964,0.05509164068192957,0.9504709345397977,0.5816470384597778,-0.03074629604816437,-0.8128600120544434,22.33221435546875,-34.61809539794922,-28.05181884765625,2,103102.784571,1,2,1582550214.943068,0,0,0,0,0,0,0,0,0,103102.475174,0,0.2642212,99.09419
1582550217.096657,7,0,1582550216.935356,41.20732995451319,29.07232162814989,161.337,-1,-1,21.01150894165039,65,-9999,103104.9327790417,0.5481109619140625,-0.03106689453125,-0.8203582763671875,103104.9277130417,0.1058626518289131,0.6219967213661949,0.03064029206452898,-0.005536618642508984,0.09187634289264679,-0.0120624266564846,-0.04115092754364014,-0.001605808734893799,-0.01065075397491455,2,-0.001623791992918733,0.3063164288450393,0.05504404871034391,0.9503356676598222,0.5823855996131897,-0.03063549846410751,-0.812335193157196,22.33221435546875,-34.61809539794922,-28.05181884765625,2,103102.784571,1,2,1582550214.943068,0,0,0,0,0,0,0,0,0,103102.475174,0,0.2642212,99.09419
1582550217.102904,8,0,1582550216.935356,41.20732995451319,29.07232162814989,161.337,-1,-1,21.01150894165039,65,-9999,103104.9428190417,0.5536041259765625,-0.0313873291015625,-0.8188323974609375,103104.9377530417,0.1058191405219743,0.6229145125071318,0.03052203540699127,-0.006170869804918766,0.09293730556964874,-0.00973452627658844,-0.03642058372497559,-0.0008237361907958984,-0.008603990077972412,2,-0.001698593511570451,0.3067498594425179,0.05500458368601241,0.9501979156573247,0.5831330418586731,-0.03051729686558247,-0.8118032813072205,22.482421875,-34.75579071044922,-27.99798583984375,2,103102.784571,1,2,1582550214.943068,0,0,0,0,0,0,0,0,0,103102.475174,0,0.2642212,99.09419
1582550217.112896,9,0,1582550216.935356,41.20732995451319,29.07232162814989,161.337,-1,-1,21.01150894165039,65,-9999,103104.9528600417,0.5673370361328125,-0.031280517578125,-0.8163299560546875,103104.9477940417,0.1057739748773733,0.6237555203752688,0.03041920788223686,-0.005805217660963535,0.08684665709733963,-0.009184849448502064,-0.03142869472503662,-0.0008807480335235596,-0.008085131645202637,2,-0.001763658799972229,0.3071470863985222,0.05496669641792207,0.9500716635380815,0.5838173627853394,-0.0304145161062479,-0.81131511926651,22.482421875,-34.75579071044922,-27.99798583984375,2,103102.784571,1,2,1582550214.943068,0,0,0,0,0,0,0,0,0,103102.475174,0,0.2642212,99.09419
1582550217.123354,10,0,1582550216.935356,41.20732995451319,29.07232162814989,161.337,-1,-1,21.01150894165039,65,-9999,103104.9629000417,0.5818939208984375,-0.03271484375,-0.8141937255859375,103104.9578640417,0.1056965773488722,0.6244247589853948,0.0303298170815868,-0.003417303320020437,0.06823229789733887,-0.01230279542505741,-0.02060532569885254,-0.0009243190288543701,-0.005681455135345459,2,-0.001812634547186498,0.3074630122736226,0.05491566662120118,0.9499723278411399,0.5843617916107178,-0.03032516688108444,-0.8109264373779297,22.38008117675781,-34.94956207275391,-28.04791259765625,2,103102.784571,1,2,1582550214.943068,0,0,0,0,0,0,0,0,0,103102.475174,0,0.2642212,99.09419
1582550217.132913,11,0,1582550216.935356,41.20732995451319,29.07232162814989,161.337,-1,-1,21.01150894165039,65,-9999,103104.9729400417,0.5846710205078125,-0.033599853515625,-0.8123779296875,103104.9679050417,0.1056152524624053,0.6248906844826861,0.0302272545855066,-0.002274274593219161,0.04777362942695618,-0.01224393956363201,-0.004825830459594727,-0.002140730619430542,-0.003998160362243652,2,-0.001861654424322096,0.3076820517151519,0.05486091772651114,0.949904463828293,0.5847413539886475,-0.03022265248000622,-0.8106566071510315,22.38008117675781,-34.94956207275391,-28.04791259765625,2,103102.784571,1,2,1582550214.943068,0,0,0,0,0,0,0,0,0,103102.475174,0,0.2642212,99.09419
1582550217.156396,12,0,1582550216.935356,41.20732995451319,29.07232162814989,161.337,-1,-1,21.01150894165039,65,-9999,103104.9829800417,0.5804290771484375,-0.0299835205078125,-0.8142852783203125,103104.9779450417,0.1055530710896387,0.6251433849587064,0.03014611464224199,-0.003907052334398031,0.02511005848646164,-0.008912798948585987,-4.249811172485352e-05,-0.003701925277709961,-0.001961946487426758,2,-0.001897572696483302,0.3078002825672257,0.05481872466919657,0.9498685124480899,0.5849476456642151,-0.0301415491849184,-0.8105107545852661,22.62480163574219,-34.81206512451172,-27.91107177734375,2,103102.784571,1,2,1582550214.943068,0,0,0,0,0,0,0,0,0,103102.475174,0,0.2642212,99.09419
1582550217.157556,13,0,1582550216.935356,41.20732995451319,29.07232162814989,161.337,-1,-1,21.01150894165039,65,-9999,103104.993004875,0.5668182373046875,-0.0296173095703125,-0.8174591064453125,103104.987968875,0.1054853094124498,0.6252978367041935,0.03009334537241695,-0.0003911468666046858,0.01751259341835976,-0.009558615274727345,-0.003143906593322754,-0.0005350410938262939,-0.003195405006408691,2,-0.0019164460391283,0.3078724746978084,0.05477830793485428,0.9498475123127572,0.5850737690925598,-0.03008880279958248,-0.8104217052459717,22.62480163574219,-34.81206512451172,-27.91107177734375,2,103102.784571,1,2,1582550214.943068,0,0,0,0,0,0,0,0,0,103102.475174,0,0.2642212,99.09419
1582550217.163071,14,0,1582550216.935356,41.20732995451319,29.07232162814989,161.337,-1,-1,21.01150894165039,65,-9999,103105.003044875,0.55657958984375,-0.0310821533203125,-0.818145751953125,103104.998009875,0.1054501831041574,0.6254047039981376,0.03004421829492803,-0.001057487446814775,0.01293821819126606,-0.005345447454601526,-0.01504170894622803,0.0006365478038787842,-0.006445825099945068,2,-0.001937311014214183,0.3079221645708197,0.05475400126928959,0.9498326755899016,0.5851612091064453,-0.03003969788551331,-0.8103603720664978,22.51333618164062,-34.78484344482422,-27.94354248046875,2,103102.784571,1,2,1582550214.943068,0,0,0,0,0,0,0,0,0,103102.475174,0,0.2642212,99.09419
1582550217.173023,15,0,1582550216.935356,41.20732995451319,29.07232162814989,161.337,-1,-1,21.01150894165039,65,-9999,103105.013084875,0.550811767578125,-0.0315399169921875,-0.8169708251953125,103105.008049875,0.1054405898424509,0.6254870637134496,0.02999973690162601,-0.003122502472251654,0.009897151961922646,-0.002599461935460567,-0.02740776538848877,-0.0009795725345611572,-0.008049368858337402,2,-0.00195922429010259,0.3079602765599759,0.0547425500260314,0.9498209284984391,0.5852287411689758,-0.02999523654580116,-0.8103132843971252,22.51333618164062,-34.78484344482422,-27.94354248046875,2,103102.784571,1,2,1582550214.943068,0,0,0,0,0,0,0,0,0,103102.475174,0,0.2642212,99.09419
1582550217.183092,16,0,1582550216.935356,41.20732995451319,29.07232162814989,161.337,-1,-1,21.01150894165039,65,-9999,103105.023125875,0.5449981689453125,-0.0317535400390625,-0.8178863525390625,103105.018089875,0.1054328989557726,0.6255617103138792,0.02994805475615878,-0.004237373825162649,0.008475532755255699,-0.004201333969831467,-0.03311491012573242,-0.001473754644393921,-0.00676429271697998,2,-0.001984639974421748,0.307994559561233,0.05473090467867553,0.9498104236955076,0.5852901339530945,-0.02994357794523239,-0.8102708458900452,22.40263366699219,-34.63120269775391,-28.13360595703125,2,103102.784571,1,2,1582550214.943068,0,0,0,0,0,0,0,0,0,103102.475174,0,0.2642212,99.09419
