loggingTime,loggingSample,identifierForVendor,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,pedometerStartDate,pedometerNumberofSteps,pedometerAverageActivePace,pedometerCurrentPace,pedometerCurrentCadence,pedometerDistance,pedometerFloorAscended,pedometerFloorDescended,pedometerEndDate,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure
1580904612.784892,1,0,1580904337.000819,41.20701635159924,29.07533761282497,172.748,-1,-1,5.74967098236084,48.00724964208526,-9999,8328.506680625,0.97198486328125,0.0604095458984375,-0.145355224609375,8328.501615625,-3.137238949381647,1.418183665522289,-0.0507893640364588,-0.007793845608830452,0.008070958778262138,-0.008197629824280739,-0.01183640956878662,0.009714782238006592,0.009970545768737793,2,0.6508913365372549,0.02068825434476426,-0.7587431122893142,-0.01488220006059258,0.9871028661727905,0.05076752975583076,-0.1518249213695526,42.3541259765625,-8.23651123046875,-36.23773193359375,2,8326.631531125,4,2,1580904610.872697,1580903939.50652,226,0.6966805,0,0,212.7492,1,0,1580904562.426208,8325.66793,0,5.340118,97.14109
1580904612.786232,2,0,1580904337.000819,41.20701635159924,29.07533761282497,172.748,-1,-1,5.74967098236084,48.00724964208526,-9999,8328.516721625001,0.9687347412109375,0.061126708984375,-0.14617919921875,8328.511655625001,-3.137186416504451,1.418284218948557,-0.05087180844740347,-0.005893309134989977,0.0119398795068264,-0.006642546039074659,-0.01549440622329712,0.009540855884552002,0.006055772304534912,2,0.6509281930119539,0.02073587640538611,-0.7587099726765514,-0.01489014982535967,0.987113893032074,0.05084986984729767,-0.1517250239849091,42.48895263671875,-8.210075378417969,-36.202392578125,2,8326.631531125,4,2,1580904610.872697,1580903939.50652,226,0.6966805,0,0,212.7492,1,0,1580904562.426208,8325.66793,0,5.340118,97.14109
1580904612.787393,3,0,1580904337.000819,41.20701635159924,29.07533761282497,172.748,-1,-1,5.74967098236084,48.00724964208526,-9999,8328.526761625,0.968292236328125,0.062896728515625,-0.1451568603515625,8328.521695625001,-3.137134795660803,1.418379352081044,-0.05094577034011535,-0.006818757858127356,0.009070325642824173,-0.005896594375371933,-0.01875525712966919,0.01018411666154861,0.005137324333190918,2,0.6509630690494242,0.02078002369739189,-0.7586787552307199,-0.01489563006555586,0.9871246218681335,0.05092373490333557,-0.1516305506229401,42.48895263671875,-8.210075378417969,-36.202392578125,2,8326.631531125,4,2,1580904610.872697,1580903939.50652,226,0.6966805,0,0,212.7492,1,0,1580904562.426208,8325.66793,0,5.340118,97.14109
1580904612.788446,4,0,1580904337.000819,41.20701635159924,29.07533761282497,172.748,-1,-1,5.74967098236084,48.00724964208526,-9999,8328.536801625001,0.9698486328125,0.062835693359375,-0.1433258056640625,8328.531735625,-3.137087253791489,1.418444779300906,-0.05100878427524322,-0.006793580949306488,0.006296414881944656,-0.0058992775157094,-0.01920455694198608,0.01189118623733521,0.006094574928283691,2,0.6509868145855995,0.02081891161749388,-0.7586572831477635,-0.01489878822472013,0.9871314167976379,0.05098666623234749,-0.1515654772520065,42.5172119140625,-8.135635375976562,-36.18133544921875,2,8326.631531125,4,2,1580904610.872697,1580903939.50652,226,0.6966805,0,0,212.7492,1,0,1580904562.426208,8325.66793,0,5.340118,97.14109
1580904612.790031,5,0,1580904337.000819,41.20701635159924,29.07533761282497,172.748,-1,-1,5.74967098236084,48.00724964208526,-9999,8328.546842625001,0.9691162109375,0.06268310546875,-0.1446075439453125,8328.541776625001,-3.13703923795867,1.418477306784059,-0.0510393856727125,-0.005873724818229675,0.003387974575161934,-0.001556993462145329,-0.01765143871307373,0.01179958879947662,0.007893264293670654,2,0.6509983726329222,0.02084590510314852,-0.758646777471761,-0.01489087542557499,0.9871348142623901,0.05101722851395607,-0.1515331268310547,42.5172119140625,-8.135635375976562,-36.18133544921875,2,8326.631531125,4,2,1580904610.872697,1580903939.50652,226,0.6966805,0,0,212.7492,1,0,1580904562.426208,8325.66793,0,5.340118,97.14109
1580904612.791707,6,0,1580904337.000819,41.20701635159924,29.07533761282497,172.748,-1,-1,5.74967098236084,48.00724964208526,-9999,8328.556882625,0.967803955078125,0.061981201171875,-0.144439697265625,8328.551816625,-3.137002928708359,1.418483660205996,-0.05105300735283697,-0.003594012930989265,-4.309602081775665e-05,-0.000640153419226408,-0.01838409900665283,0.01163338869810104,0.006605207920074463,2,0.6510002821798848,0.02086284296680846,-0.7586448131119466,-0.01488160455410827,0.9871350526809692,0.05103083327412605,-0.1515267491340637,42.58379364013672,-8.125339508056641,-36.28961181640625,2,8326.631531125,4,2,1580904610.872697,1580903939.50652,226,0.6966805,0,0,212.7492,1,0,1580904562.426208,8325.66793,0,5.340118,97.14109
1580904612.812669,7,0,1580904337.000819,41.20701635159924,29.07533761282497,172.748,-1,-1,5.74967098236084,48.00724964208526,-9999,8328.566922625001,0.96893310546875,0.0614166259765625,-0.1446990966796875,8328.561887625001,-3.136971969490692,1.418488029445289,-0.05105547652949136,-0.003626237157732248,-4.25633043050766e-05,0.001328721176832914,-0.01969695091247559,0.01092900335788727,0.006768643856048584,2,0.6510015928672817,0.02087382422554727,-0.7586436125952826,-0.01487071004764065,0.9871355891227722,0.05103329941630363,-0.1515224128961563,42.58379364013672,-8.125339508056641,-36.28961181640625,2,8326.631531125,4,2,1580904610.872697,1580903939.50652,226,0.6966805,0,0,212.7492,1,0,1580904562.426208,8325.66793,0,5.340118,97.14109
1580904612.8137,8,0,1580904337.000819,41.20701635159924,29.07533761282497,172.748,-1,-1,5.74967098236084,48.00724964208526,-9999,8328.576962625,0.9711456298828125,0.0612335205078125,-0.1454315185546875,8328.571927625,-3.136951337422178,1.418491276096721,-0.05104817342628509,-0.001552433706820011,-0.0003501567989587784,0.002132996451109648,-0.01856863498687744,0.01037173718214035,0.006506145000457764,2,0.6510026785569127,0.02087774591455656,-0.7586427402151598,-0.01486054128748322,0.9871364235877991,0.05102600529789925,-0.1515192687511444,42.47417449951172,-8.12530517578125,-35.9677734375,2,8326.631531125,4,2,1580904610.872697,1580903939.50652,226,0.6966805,0,0,212.7492,1,0,1580904562.426208,8325.66793,0,5.340118,97.14109
1580904612.81462,9,0,1580904337.000819,41.20701635159924,29.07533761282497,172.748,-1,-1,5.74967098236084,48.00724964208526,-9999,8328.587003625,0.97021484375,0.0611724853515625,-0.143951416015625,8328.581967625001,-3.136909648895256,1.418478697765957,-0.05104190702511857,-0.004604443907737732,-0.001691924408078194,0.002133836969733238,-0.01635450124740601,0.01019488275051117,0.005786120891571045,2,0.6509975278894838,0.02088903219004527,-0.758647224615778,-0.01484255580660702,0.9871348142623901,0.05101974681019783,-0.1515317410230637,42.47417449951172,-8.12530517578125,-35.9677734375,2,8326.631531125,4,2,1580904610.872697,1580903939.50652,226,0.6966805,0,0,212.7492,1,0,1580904562.426208,8325.66793,0,5.340118,97.14109
1580904612.824871,10,0,1580904337.000819,41.20701635159924,29.07533761282497,172.748,-1,-1,5.74967098236084,48.00724964208526,-9999,8328.597043625001,0.9694061279296875,0.061920166015625,-0.14300537109375,8328.592008625001,-3.136881998894065,1.418436805968712,-0.05103481673524227,-0.00152361486107111,-0.003902815282344818,0.001912102568894625,-0.01727932691574097,0.01014092564582825,0.007307648658752441,2,0.6509814148189274,0.02089565361145908,-0.7586611110384917,-0.01482932215960371,0.9871288537979126,0.05101266503334045,-0.1515731364488602,42.36970520019531,-8.465919494628906,-36.17730712890625,2,8326.631531125,4,2,1580904610.872697,1580903939.50652,226,0.6966805,0,0,212.7492,1,0,1580904562.426208,8325.66793,0,5.340118,97.14109
