loggingTime,loggingSample,identifierForVendor,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,pedometerStartDate,pedometerNumberofSteps,pedometerAverageActivePace,pedometerCurrentPace,pedometerCurrentCadence,pedometerDistance,pedometerFloorAscended,pedometerFloorDescended,pedometerEndDate,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure
1582559300.893685,1,0,1582559299.998886,41.20592214438152,29.07252297474292,178.6905,0.1630881,3.189844124246055,3,6.000906205260658,-9999,106390.682086625,0.97418212890625,0.1087646484375,-0.0655670166015625,106390.676043625,2.205242982347746,1.519332478380889,-0.1122161917649615,-0.02025106735527515,0.04845283925533295,-0.002294187899678946,-0.01776057481765747,-0.002644598484039307,-0.0157005786895752,2,0.6319543779139809,-0.2739979332781259,-0.6285981645740909,-0.3611415939413948,0.9923948049545288,0.1119808256626129,-0.05111759528517723,26.16985321044922,22.84420776367188,1.20941162109375,2,106388.6286745417,4,2,1582559298.800749,1582558685.643339,11,0.6387488,0,0,10.91,0,0,1582558765.788069,106387.776208,0,5.004547,99.30508
1582559300.895699,2,0,1582559299.998886,41.20592214438152,29.07252297474292,178.6905,0.1630881,3.189844124246055,3,6.000906205260658,-9999,106390.692126625,0.9759063720703125,0.1077880859375,-0.060028076171875,106390.686083625,2.205443387721495,1.519823940265991,-0.1121961794468415,-0.01940172910690308,0.04863316565752029,0.005932492204010487,-0.01971065998077393,-0.003952264785766602,-0.01455593109130859,2,0.6321333730775515,-0.2740299468914053,-0.6284824620356827,-0.3610052807842926,0.9924219846725464,0.1119609400629997,-0.05062997341156006,26.21167755126953,22.79580688476562,1.250885009765625,2,106388.6286745417,4,2,1582559298.800749,1582558685.643339,11,0.6387488,0,0,10.91,0,0,1582558765.788069,106387.776208,0,5.004547,99.30508
1582559300.89731,3,0,1582559299.998886,41.20592214438152,29.07252297474292,178.6905,0.1630881,3.189844124246055,3,6.000906205260658,-9999,106390.702182375,0.9896697998046875,0.112457275390625,-0.0444488525390625,106390.696140375,2.205554817158478,1.51997144225689,-0.112219736057376,-0.01295155100524426,0.01902680285274982,-0.001641537994146347,-0.01381039619445801,-0.00354844331741333,-0.008034586906433105,2,0.6321984290600523,-0.2740135374059884,-0.6284518722298525,-0.3609570737473669,0.9924268126487732,0.1119843497872353,-0.05048345401883125,26.21167755126953,22.79580688476562,1.250885009765625,2,106388.6286745417,4,2,1582559298.800749,1582558685.643339,11,0.6387488,0,0,10.91,0,0,1582558765.788069,106387.776208,0,5.004547,99.30508
1582559300.898594,4,0,1582559299.998886,41.20592214438152,29.07252297474292,178.6905,0.1630881,3.189844124246055,3,6.000906205260658,-9999,106390.712222375,0.976287841796875,0.1097259521484375,-0.0586700439453125,106390.706180375,2.205575894892295,1.519695331208989,-0.1122580063771657,-0.005908812396228313,-0.0293845534324646,-0.003198753343895078,-0.003187298774719238,0.0002129673957824707,0.006292819976806641,2,0.6321201323878698,-0.273944355929956,-0.628536336970775,-0.3609996889171384,0.9924085736274719,0.112022377550602,-0.05075725540518761,25.94255828857422,23.01702880859375,1.347442626953125,2,106388.6286745417,4,2,1582559298.800749,1582558685.643339,11,0.6387488,0,0,10.91,0,0,1582558765.788069,106387.776208,0,5.004547,99.30508
1582559300.918517,5,0,1582559299.998886,41.20592214438152,29.07252297474292,178.6905,0.1630881,3.189844124246055,3,6.000906205260658,-9999,106390.722263375,0.9696044921875,0.109405517578125,-0.065032958984375,106390.716220375,2.205598313356899,1.519437939770382,-0.1122974941372667,-0.004857663065195084,-0.02481377124786377,-0.003458145307376981,-0.01981699466705322,-0.002603411674499512,-0.01162517070770264,2,0.6320480853494914,-0.2738776873551284,-0.62861484237654,-0.3610396000858443,0.9923909902572632,0.112061619758606,-0.05101246014237404,25.94255828857422,23.01702880859375,1.347442626953125,2,106388.6286745417,4,2,1582559298.800749,1582558685.643339,11,0.6387488,0,0,10.91,0,0,1582558765.788069,106387.776208,0,5.004547,99.30508
1582559300.91956,6,0,1582559299.998886,41.20592214438152,29.07252297474292,178.6905,0.1630881,3.189844124246055,3,6.000906205260658,-9999,106390.732303375,0.968231201171875,0.110595703125,-0.0647735595703125,106390.726260375,2.205609639869748,1.519231366861653,-0.1123227062914864,-0.000898496771696955,-0.01941565424203873,-0.003053907537832856,-0.02308416366577148,-0.002475857734680176,-0.01383113861083984,2,0.6319883988285873,-0.2738284291356631,-0.6286777526852216,-0.3610717811159237,0.9923775196075439,0.1120866686105728,-0.05121731013059616,25.98188018798828,22.92858123779297,1.19696044921875,2,106388.6286745417,4,2,1582559298.800749,1582558685.643339,11,0.6387488,0,0,10.91,0,0,1582558765.788069,106387.776208,0,5.004547,99.30508
1582559300.920282,7,0,1582559299.998886,41.20592214438152,29.07252297474292,178.6905,0.1630881,3.189844124246055,3,6.000906205260658,-9999,106390.742343375,0.966766357421875,0.10992431640625,-0.0655670166015625,106390.736331375,2.205670716956766,1.519070949725108,-0.1122953673564961,-0.006987015716731548,-0.01670162752270699,0.003361913375556469,-0.02507781982421875,-0.001441597938537598,-0.0141901969909668,2,0.6319423188617982,-0.2737892809235468,-0.628744287624556,-0.3610664954586326,0.9923725128173828,0.1120595037937164,-0.05137667059898376,25.98188018798828,22.92858123779297,1.19696044921875,2,106388.6286745417,4,2,1582559298.800749,1582558685.643339,11,0.6387488,0,0,10.91,0,0,1582558765.788069,106387.776208,0,5.004547,99.30508
1582559300.921172,8,0,1582559299.998886,41.20592214438152,29.07252297474292,178.6905,0.1630881,3.189844124246055,3,6.000906205260658,-9999,106390.752384375,0.9687347412109375,0.111175537109375,-0.064910888671875,106390.746372375,2.205715603320444,1.518964108209126,-0.1122451734171791,-0.003483540145680308,-0.00887409970164299,0.005460937041789293,-0.02588653564453125,-0.002002030611038208,-0.01435846090316772,2,0.6319075516053976,-0.2737724488652875,-0.6287948091865022,-0.3610520355519296,0.9923725724220276,0.1120096296072006,-0.05148298665881157,26.20084381103516,22.96086883544922,1.32586669921875,2,106388.6286745417,4,2,1582559298.800749,1582558685.643339,11,0.6387488,0,0,10.91,0,0,1582558765.788069,106387.776208,0,5.004547,99.30508
1582559300.926955,9,0,1582559299.998886,41.20592214438152,29.07252297474292,178.6905,0.1630881,3.189844124246055,3,6.000906205260658,-9999,106390.762424375,0.97308349609375,0.1086578369140625,-0.06378173828125,106390.756412375,2.205742581109914,1.51890556455073,-0.1121907838051098,-0.002593777840957046,-0.003661494702100754,0.005696893204003572,-0.02347868680953979,-0.001062929630279541,-0.01388806104660034,2,0.6318848977793077,-0.2737713969287708,-0.628827579982505,-0.3610353643339772,0.9923756122589111,0.1119555756449699,-0.05154139548540115,26.20084381103516,22.96086883544922,1.32586669921875,2,106388.6286745417,4,2,1582559298.800749,1582558685.643339,11,0.6387488,0,0,10.91,0,0,1582558765.788069,106387.776208,0,5.004547,99.30508
1582559300.937164,10,0,1582559299.998886,41.20592214438152,29.07252297474292,178.6905,0.1630881,3.189844124246055,3,6.000906205260658,-9999,106390.772464375,0.9735870361328125,0.1087799072265625,-0.063751220703125,106390.766452375,2.205790260125089,1.518846921515042,-0.1121276119668321,-0.003531587077304721,-0.006295995786786079,0.006145656108856201,-0.01867616176605225,-0.003441572189331055,-0.01196789741516113,2,0.6318637621281151,-0.2737667021578583,-0.6288656375215076,-0.3610095833748829,0.9923796057701111,0.1118928045034409,-0.05159995704889297,26.22621917724609,23.10885620117188,1.349029541015625,2,106388.6286745417,4,2,1582559298.800749,1582558685.643339,11,0.6387488,0,0,10.91,0,0,1582558765.788069,106387.776208,0,5.004547,99.30508
