loggingTime,loggingSample,identifierForVendor,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,pedometerStartDate,pedometerNumberofSteps,pedometerAverageActivePace,pedometerCurrentPace,pedometerCurrentCadence,pedometerDistance,pedometerFloorAscended,pedometerFloorDescended,pedometerEndDate,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure
1580907037.777629,1,0,1580907036.99773,41.20954520397699,29.07645423593923,200.9565,-1,-1,35.96479034423828,48.00724964208526,-9999,10753.528585125,0.9761962890625,0.092559814453125,-0.14263916015625,10753.523550125,1.344826499394048,1.420143082125508,-0.09863962664913632,-0.006617209408432245,0.009323844686150551,-0.006664497312158346,-0.01789224147796631,-0.00652727484703064,0.001825094223022461,2,0.4347984203632321,-0.4860793230309072,-0.4466196051042733,-0.6125423106356875,0.9838672876358032,0.0984797477722168,-0.1493544578552246,46.63481903076172,-10.7896900177002,0.76336669921875,2,10751.5481905,2,0,1580907035.789357,1580903939.50652,2106,0.4568741,0,0,2639.329,9,7,1580906940.646764,10750.555099,0,22.06866,96.94701
1580907037.778623,2,0,1580907036.99773,41.20954520397699,29.07645423593923,200.9565,-1,-1,35.96479034423828,48.00724964208526,-9999,10753.538656125,0.9659423828125,0.093475341796875,-0.1494140625,10753.533590125,1.344917207941097,1.420235180177887,-0.09873239542105615,-0.009078769013285637,0.008399195969104767,-0.008585168980062008,-0.01145792007446289,-0.005887359380722046,0.004662394523620605,2,0.4348675927261043,-0.4860647539517918,-0.4466026505454032,-0.6125171072244906,0.9838719964027405,0.09857206791639328,-0.1492624580860138,46.80797576904297,-10.74937629699707,0.46649169921875,2,10751.5481905,2,0,1580907035.789357,1580903939.50652,2106,0.4568741,0,0,2639.329,9,7,1580906940.646764,10750.555099,0,22.06866,96.94701
1580907037.77932,3,0,1580907036.99773,41.20954520397699,29.07645423593923,200.9565,-1,-1,35.96479034423828,48.00724964208526,-9999,10753.548696125,0.9662322998046875,0.091949462890625,-0.1476593017578125,10753.543630125,1.345030703612228,1.420365953682204,-0.0988243970747731,-0.01319818571209908,0.0117187537252903,-0.007720023859292269,-0.01702260971069336,-0.005811333656311035,-0.0002744793891906738,2,0.4349507116761228,-0.4860572602886923,-0.4465844640735471,-0.6124772830684071,0.9838825464248657,0.09866362065076828,-0.1491324305534363,46.80797576904297,-10.74937629699707,0.46649169921875,2,10751.5481905,2,0,1580907035.789357,1580903939.50652,2106,0.4568741,0,0,2639.329,9,7,1580906940.646764,10750.555099,0,22.06866,96.94701
1580907037.779962,4,0,1580907036.99773,41.20954520397699,29.07645423593923,200.9565,-1,-1,35.96479034423828,48.00724964208526,-9999,10753.558736125,0.9691009521484375,0.0920562744140625,-0.1464080810546875,10753.553671125,1.345130899818202,1.420493734339635,-0.09890089853279584,-0.01089907810091972,0.01394062861800194,-0.005497882142663002,-0.02123063802719116,-0.006253868341445923,-0.002034544944763184,2,0.4350254991209277,-0.4860555798209767,-0.4465669697329245,-0.6124382155875062,0.9838940501213074,0.09873974323272705,-0.1490055769681931,46.74250030517578,-10.95424842834473,0.58734130859375,2,10751.5481905,2,0,1580907035.789357,1580903939.50652,2106,0.4568741,0,0,2639.329,9,7,1580906940.646764,10750.555099,0,22.06866,96.94701
1580907037.780578,5,0,1580907036.99773,41.20954520397699,29.07645423593923,200.9565,-1,-1,35.96479034423828,48.00724964208526,-9999,10753.568777125,0.9694976806640625,0.0934295654296875,-0.1444244384765625,10753.563741125,1.345196327174711,1.420555427512721,-0.09898330195046072,-0.008249766193330288,0.004845134913921356,-0.007894461043179035,-0.01781380176544189,-0.007480531930923462,0.0001311302185058594,2,0.4350787588151719,-0.4860397574564312,-0.446551629892273,-0.6124241041435871,0.9838951826095581,0.09882174432277679,-0.1489436626434326,46.74250030517578,-10.95424842834473,0.58734130859375,2,10751.5481905,2,0,1580907035.789357,1580903939.50652,2106,0.4568741,0,0,2639.329,9,7,1580906940.646764,10750.555099,0,22.06866,96.94701
1580907037.789067,6,0,1580907036.99773,41.20954520397699,29.07645423593923,200.9565,-1,-1,35.96479034423828,48.00724964208526,-9999,10753.578817125,0.9648590087890625,0.0925445556640625,-0.147186279296875,10753.573782125,1.345261537937258,1.420613353713338,-0.09903349499997995,-0.007358994334936142,0.005000598728656769,-0.002323510590940714,-0.01626110076904297,-0.005760520696640015,0.001675665378570557,2,0.4351218419330828,-0.4860308725552668,-0.4465456606491073,-0.6124050742447558,0.9838990569114685,0.09887169301509857,-0.1488859504461288,46.84743499755859,-10.87673759460449,0.63397216796875,2,10751.5481905,2,0,1580907035.789357,1580903939.50652,2106,0.4568741,0,0,2639.329,9,7,1580906940.646764,10750.555099,0,22.06866,96.94701
1580907037.804705,7,0,1580907036.99773,41.20954520397699,29.07645423593923,200.9565,-1,-1,35.96479034423828,48.00724964208526,-9999,10753.588857125,0.9633636474609375,0.093109130859375,-0.1475372314453125,10753.583822125,1.345336239785529,1.420710942339672,-0.09906875890571279,-0.008277696557343006,0.008873812854290009,-0.002189947757869959,-0.02027016878128052,-0.006573885679244995,0.0007395148277282715,2,0.4351718750829046,-0.4860357351431009,-0.4465379054315096,-0.6123713106397171,0.9839101433753967,0.09890678524971008,-0.1487894058227539,46.84743499755859,-10.87673759460449,0.63397216796875,2,10751.5481905,2,0,1580907035.789357,1580903939.50652,2106,0.4568741,0,0,2639.329,9,7,1580906940.646764,10750.555099,0,22.06866,96.94701
1580907037.809144,8,0,1580907036.99773,41.20954520397699,29.07645423593923,200.9565,-1,-1,35.96479034423828,48.00724964208526,-9999,10753.598898125,0.9615325927734375,0.0930938720703125,-0.148651123046875,10753.593862125,1.34542830753368,1.420900530312581,-0.09906168963193476,-0.009075580164790154,0.01930674538016319,0.002299875020980835,-0.02248120307922363,-0.006276965141296387,-0.001492023468017578,2,0.4352345460053823,-0.4860755106747856,-0.4465267288612561,-0.6123033781733142,0.9839390516281128,0.09889975190162659,-0.1486029773950577,46.68126678466797,-10.77469062805176,0.47967529296875,2,10751.5481905,2,0,1580907035.789357,1580903939.50652,2106,0.4568741,0,0,2639.329,9,7,1580906940.646764,10750.555099,0,22.06866,96.94701
1580907037.819184,9,0,1580907036.99773,41.20954520397699,29.07645423593923,200.9565,-1,-1,35.96479034423828,48.00724964208526,-9999,10753.608938125,0.965850830078125,0.094482421875,-0.14703369140625,10753.603902125,1.345515214489402,1.421124602618755,-0.09903500935490075,-0.008472672663629055,0.02210188657045364,0.004072452895343304,-0.02482116222381592,-0.006235063076019287,-0.002002596855163574,2,0.4352980794762167,-0.4861318129938259,-0.4465116675374404,-0.6122244487832661,0.9839749336242676,0.09887319803237915,-0.1483828872442245,46.68126678466797,-10.77469062805176,0.47967529296875,2,10751.5481905,2,0,1580907035.789357,1580903939.50652,2106,0.4568741,0,0,2639.329,9,7,1580906940.646764,10750.555099,0,22.06866,96.94701
1580907037.829088,10,0,1580907036.99773,41.20954520397699,29.07645423593923,200.9565,-1,-1,35.96479034423828,48.00724964208526,-9999,10753.619009125,0.967559814453125,0.0948944091796875,-0.143524169921875,10753.613943125,1.34560048006052,1.421327447092417,-0.09897185155512257,-0.007330176420509815,0.01959531754255295,0.008052547462284565,-0.02204978466033936,-0.004829347133636475,-0.001881241798400879,2,0.4353460544306832,-0.4861910219644575,-0.4465104290382362,-0.6121441440376227,0.9840110540390015,0.0988103523850441,-0.148184210062027,46.84291839599609,-10.80496406555176,0.585784912109375,2,10751.5481905,2,0,1580907035.789357,1580903939.50652,2106,0.4568741,0,0,2639.329,9,7,1580906940.646764,10750.555099,0,22.06866,96.94701
