Barometer,currentAvg,AvgBefore_2_Second,Pstart,Pend,CurrentFloor
893.64185,0.0,0.0,0.0,0.0,0.0,
893.64185,0.0,0.0,0.0,0.0,0.0,
893.63635,0.0,0.0,0.0,0.0,0.0,
893.6379,0.0,0.0,0.0,0.0,0.0,
893.65015,0.0,0.0,0.0,0.0,0.0,
893.6538,893.6416,893.6416,0.0,0.0,0.0,
893.656,893.6416,893.6416,0.0,0.0,0.0,
893.6398,893.6416,893.6416,0.0,0.0,0.0,
893.6331,893.6416,893.6416,0.0,0.0,0.0,
893.6315,893.6416,893.6416,0.0,0.0,0.0,
893.6182,893.6416,893.6416,0.0,0.0,0.0,
893.6255,893.63574,893.6416,0.0,0.0,0.0,
893.6371,893.63574,893.6416,0.0,0.0,0.0,
893.6522,893.63574,893.6416,0.0,0.0,0.0,
893.6522,893.63574,893.6416,0.0,0.0,0.0,
893.6628,893.63574,893.6416,0.0,0.0,0.0,
893.6714,893.63574,893.6416,0.0,0.0,0.0,
893.6661,893.6551,893.6551,893.6551,0.0,0.0,
893.6747,893.6551,893.6551,893.6551,0.0,0.0,
893.6885,893.6551,893.6551,893.6551,0.0,0.0,
893.69604,893.6551,893.6551,893.6551,0.0,0.0,
893.7079,893.6551,893.6551,893.6551,0.0,0.0,
893.7162,893.6551,893.6551,893.6551,0.0,0.0,
893.7168,893.69666,893.6551,893.6551,0.0,0.0,
893.72266,893.69666,893.6551,893.6551,0.0,0.0,
893.7395,893.69666,893.6551,893.6551,0.0,0.0,
893.7417,893.69666,893.6551,893.6551,0.0,0.0,
893.7393,893.69666,893.6551,893.6551,0.0,0.0,
893.74457,893.69666,893.6551,893.6551,0.0,0.0,
893.7429,893.7375,893.7375,893.6551,0.0,0.0,
893.7405,893.7375,893.7375,893.6551,0.0,0.0,
893.7513,893.7375,893.7375,893.6551,0.0,0.0,
893.75385,893.7375,893.7375,893.6551,0.0,0.0,
893.7597,893.7375,893.7375,893.6551,0.0,0.0,
893.76,893.7375,893.7375,893.6551,0.0,0.0,
893.775,893.7531,893.7375,893.6551,0.0,0.0,
893.774,893.7531,893.7375,893.6551,0.0,0.0,
893.77563,893.7531,893.7375,893.6551,0.0,0.0,
893.78644,893.7531,893.7375,893.6551,0.0,0.0,
