Barometer,currentAvg,AvgBefore_2_Second,Pstart,Pend,CurrentFloor
894.65936,894.6893,894.7057,895.0365,0.0,0.0,
894.65845,894.6893,894.7057,895.0365,0.0,0.0,
894.65625,894.6893,894.7057,895.0365,0.0,0.0,
894.65955,894.6628,894.6628,895.0365,0.0,0.0,
894.6537,894.6628,894.6628,895.0365,0.0,0.0,
894.6553,894.6628,894.6628,895.0365,0.0,0.0,
894.6567,894.6628,894.6628,895.0365,0.0,0.0,
894.6607,894.6628,894.6628,895.0365,0.0,0.0,
894.66736,894.6628,894.6628,895.0365,0.0,0.0,
894.67334,894.6587,894.6628,895.0365,0.0,0.0,
894.6714,894.6587,894.6628,895.0365,0.0,0.0,
894.6717,894.6587,894.6628,895.0365,0.0,0.0,
894.6642,894.6587,894.6628,895.0365,0.0,0.0,
894.65894,894.6587,894.6628,895.0365,0.0,0.0,
894.6606,894.6587,894.6628,895.0365,0.0,0.0,
894.6564,894.66534,894.66534,895.0365,0.0,0.0,
894.6646,894.66534,894.66534,895.0365,0.0,0.0,
894.66235,894.66534,894.66534,895.0365,0.0,0.0,
894.65845,894.66534,894.66534,895.0365,0.0,0.0,
894.6535,894.66534,894.66534,895.0365,0.0,0.0,
894.66345,894.66534,894.66534,895.0365,0.0,0.0,
894.6681,894.66046,894.66534,895.0365,0.0,0.0,
894.66583,894.66046,894.66534,895.0365,0.0,0.0,
894.6649,894.66046,894.66534,895.0365,0.0,0.0,
894.65967,894.66046,894.66534,895.0365,0.0,0.0,
894.65967,894.66046,894.66534,895.0365,0.0,0.0,
894.6574,894.66046,894.66534,895.0365,0.0,0.0,
894.6574,894.6615,894.6615,895.0365,0.0,0.0,
894.6521,894.6615,894.6615,895.0365,0.0,0.0,
894.6482,894.6615,894.6615,895.0365,0.0,0.0,
894.63904,894.6615,894.6615,895.0365,0.0,0.0,
894.6407,894.6615,894.6615,895.0365,0.0,0.0,
894.642,894.6615,894.6615,895.0365,0.0,0.0,
894.6448,894.6444,894.6615,895.0365,0.0,0.0,
894.6497,894.6444,894.6615,895.0365,0.0,0.0,
894.65436,894.6444,894.6615,895.0365,0.0,0.0,
894.6538,894.6444,894.6615,895.0365,0.0,0.0,
894.65875,894.6444,894.6615,895.0365,0.0,0.0,
894.66174,894.6444,894.6615,895.0365,0.0,0.0,
894.6595,894.65564,894.65564,895.0365,0.0,0.0,
894.6476,894.65564,894.65564,895.0365,0.0,0.0,
894.6526,894.65564,894.65564,895.0365,0.0,0.0,
894.6526,894.65564,894.65564,895.0365,0.0,0.0,
894.6321,894.65564,894.65564,895.0365,0.0,0.0,
894.6252,894.65564,894.65564,895.0365,0.0,0.0,
894.6285,894.64197,894.65564,895.0365,0.0,0.0,
894.6246,894.64197,894.65564,895.0365,0.0,0.0,
894.618,894.64197,894.65564,895.0365,0.0,0.0,
894.6138,894.64197,894.65564,895.0365,0.0,0.0,
894.62036,894.64197,894.65564,895.0365,0.0,0.0,
894.61017,894.64197,894.65564,895.0365,0.0,0.0,
894.6052,894.6174,894.6174,895.0365,0.0,0.0,
894.60626,894.6174,894.6174,895.0365,0.0,0.0,
894.596,894.6174,894.6174,895.0365,0.0,0.0,
894.5868,894.6174,894.6174,895.0365,0.0,0.0,
894.5885,894.6174,894.6174,895.0365,0.0,0.0,
894.5885,894.6174,894.6174,895.0365,0.0,0.0,
894.573,894.59314,894.6174,895.0365,0.0,0.0,
894.57104,894.59314,894.6174,895.0365,0.0,0.0,
894.57764,894.59314,894.6174,895.0365,0.0,0.0,
894.5734,894.59314,894.6174,895.0365,0.0,0.0,
894.5734,894.59314,894.6174,895.0365,0.0,0.0,
894.585,894.59314,894.6174,895.0365,0.0,0.0,
894.5811,894.5762,894.5762,895.0365,0.0,0.0,
